ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,MaxWin,MaxLoss,AvgWin,AvgLoss,PlayerA,PlayerB,RankA,RankB,RankDiff,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA_cum,WinRateB_cum,Form10A,Form10B,RestDaysA,RestDaysB,DiffWR,DiffForm,DiffRest,LogRankDiff,H2HDiff,ProbA_odds,ProbB_odds,OddsProbDiff,WinRateA_x_Rank,WinRateB_x_Rank,EfficiencyDiff
36,London,Wimbledon,2025-07-07,Grand Slam,Outdoor,Grass,4th Round,5.0,Cobolli F.,Cilic M.,24.0,83,6.0,4.0,6.0,4.0,6.0,7.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,1.83,2.0,,,,,1.88,2.03,2035.0,722.0,,,,,,,1.89,2.1,1.79,2.01,,,1.88,2.03,1.855,2.015,Cilic M.,Cobolli F.,83.0,24.0,59.0,0,2.1,1.89,2.01,1.79,0,3,-3,556,323,58,49,0.7168141592920354,0.5714285714285714,0.8,0.6,2,2,0.145385587863464,0.20000000000000007,0,1.2407867774486525,-3,0.47619047619047616,0.5291005291005292,-0.05291005291005302,0.008636315172193198,0.023809523809523808,-0.01517320863733061
36,London,Wimbledon,2025-07-06,Grand Slam,Outdoor,Grass,4th Round,5.0,Alcaraz C.,Rublev A.,2.0,14,6.0,7.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,1.08,7.0,,,,,1.1,8.57,9300.0,2920.0,,,,,,,1.11,9.4,1.09,7.5,,,1.1,8.57,1.09,7.785,Alcaraz C.,Rublev A.,2.0,14.0,-12.0,1,1.11,9.4,1.09,7.5,4,1,3,237,59,337,188,0.9142857142857143,0.6764705882352942,1.0,0.6,2,2,0.2378151260504201,0.4,0,-1.945910149055313,3,0.9009009009009008,0.10638297872340426,0.7945179221774965,0.45714285714285713,0.04831932773109244,0.4088235294117647
36,London,Wimbledon,2025-07-06,Grand Slam,Outdoor,Grass,4th Round,5.0,Khachanov K.,Majchrzak K.,20.0,109,6.0,4.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,1.36,3.2,,,,,1.38,3.36,2240.0,527.0,,,,,,,1.4,3.4,1.35,3.19,,,1.38,3.36,1.37,3.28,Khachanov K.,Majchrzak K.,20.0,109.0,-89.0,1,1.4,3.4,1.35,3.19,4,1,3,286,205,25,35,0.6458333333333334,0.5,0.7,0.5,2,2,0.14583333333333337,0.19999999999999996,0,-1.6956156086751526,3,0.7142857142857143,0.29411764705882354,0.42016806722689076,0.03229166666666667,0.0045871559633027525,0.027704510703363917
36,London,Wimbledon,2025-07-06,Grand Slam,Outdoor,Grass,4th Round,5.0,Norrie C.,Jarry N.,61.0,143,6.0,3.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,,,,,,,,,1.83,1.91,,,,,1.87,2.04,952.0,418.0,,,,,,,2.1,2.08,1.84,1.96,,,1.87,2.04,1.85,1.975,Jarry N.,Norrie C.,143.0,61.0,82.0,0,2.08,2.1,1.96,1.84,1,1,0,108,110,215,156,0.5217391304347826,0.5434782608695652,0.6,0.5,2,2,-0.021739130434782594,0.09999999999999998,0,0.8519707660865956,0,0.4807692307692307,0.47619047619047616,0.0045787545787545625,0.0036485253876558225,0.008909479686386314,-0.005260954298730492
36,London,Wimbledon,2025-07-06,Grand Slam,Outdoor,Grass,4th Round,5.0,Fritz T.,Thompson J.,5.0,44,6.0,1.0,3.0,0.0,,,,,,,1.0,0.0,Retired,,,,,,,,,1.14,5.5,,,,,1.15,6.36,4635.0,1200.0,,,,,,,1.16,6.8,1.14,5.64,,,1.15,6.36,1.145,5.93,Fritz T.,Thompson J.,5.0,44.0,-39.0,1,1.16,6.8,1.14,5.64,2,1,1,287,189,147,165,0.6470588235294118,0.5303030303030303,0.9,0.6,2,2,0.11675579322638152,0.30000000000000004,0,-2.174751721484161,1,0.8620689655172414,0.14705882352941177,0.7150101419878296,0.12941176470588237,0.012052341597796142,0.11735942310808622
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,Cilic M.,Munar J.,83.0,55,6.0,3.0,3.0,6.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,1.53,2.5,,,,,1.58,2.55,722.0,1012.0,,,,,,,1.61,2.62,1.54,2.46,,,1.58,2.55,1.555,2.525,Cilic M.,Munar J.,83.0,55.0,28.0,1,1.61,2.62,1.54,2.46,3,0,3,555,323,106,142,0.7142857142857143,0.3157894736842105,0.7,0.5,2,2,0.3984962406015038,0.19999999999999996,0,0.4115074225641271,3,0.6211180124223602,0.38167938931297707,0.23943862310938313,0.008605851979345956,0.005741626794258373,0.002864225185087583
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,Sinner J.,Martinez P.,1.0,52,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,,,,,,,,,1.01,19.0,,,,,1.01,41.19,10430.0,1030.0,,,,,,,1.01,75.0,1.01,28.17,,,1.01,41.19,1.01,30.095,Martinez P.,Sinner J.,52.0,1.0,51.0,0,75.0,1.01,28.17,1.01,0,2,-2,81,107,270,86,0.35714285714285715,0.7058823529411765,0.3,0.8,2,2,-0.34873949579831937,-0.5,0,3.9512437185814275,-2,0.013333333333333334,0.9900990099009901,-0.9767656765676568,0.006868131868131868,0.7058823529411765,-0.6990142210730447
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,3.0,Djokovic N.,Kecmanovic M.,6.0,49,6.0,3.0,6.0,0.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,1.04,9.5,,,,,1.05,15.38,4630.0,1106.0,,,,,,,1.05,19.5,1.03,13.67,,,1.05,15.38,1.045,12.44,Djokovic N.,Kecmanovic M.,6.0,49.0,-43.0,1,1.05,19.5,1.03,13.67,4,0,4,1091,215,154,155,0.8686131386861314,0.4722222222222222,0.8,0.6,2,2,0.3963909164639092,0.20000000000000007,0,-2.1000608288825715,4,0.9523809523809523,0.05128205128205128,0.901098901098901,0.14476885644768858,0.00963718820861678,0.1351316682390718
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,Dimitrov G.,Ofner S.,21.0,165,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,,,,,,,,,1.29,3.75,,,,,1.31,3.83,2155.0,343.0,,,,,,,1.33,3.9,1.29,3.63,,,1.31,3.83,1.3,3.79,Dimitrov G.,Ofner S.,21.0,165.0,-144.0,1,1.33,3.9,1.29,3.63,1,0,1,467,296,48,53,0.6,0.5,0.7,0.6,2,2,0.09999999999999998,0.09999999999999998,0,-2.0614230361771573,1,0.7518796992481203,0.25641025641025644,0.4954694428378638,0.02857142857142857,0.0030303030303030303,0.02554112554112554
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,Shelton B.,Fucsovics M.,10.0,105,6.0,3.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,1.3,3.6,,,,,1.32,3.77,3130.0,564.0,,,,,,,1.33,4.0,1.29,3.6,,,1.32,3.77,1.31,3.685,Fucsovics M.,Shelton B.,105.0,10.0,95.0,0,4.0,1.33,3.6,1.29,0,1,-1,148,156,91,65,0.5128205128205128,0.5,0.6,0.6,1,1,0.012820512820512775,0.0,0,2.351375257163477,-1,0.25,0.7518796992481203,-0.5018796992481203,0.004884004884004884,0.05,-0.04511599511599512
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,De Minaur A.,Holmgren A.,11.0,192,6.0,4.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,1.06,8.0,,,,,1.08,10.76,3085.0,285.0,,,,,,,1.08,12.0,1.06,9.13,,,1.08,10.76,1.07,9.38,De Minaur A.,Holmgren A.,11.0,192.0,-181.0,1,1.08,12.0,1.06,9.13,1,0,1,249,149,2,1,0.6481481481481481,1.0,0.7,1.0,2,2,-0.35185185185185186,-0.30000000000000004,0,-2.859600099229411,1,0.9259259259259258,0.08333333333333333,0.8425925925925924,0.058922558922558925,0.005208333333333333,0.05371422558922559
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,Sonego L.,Nakashima B.,47.0,34,6.0,7.0,7.0,6.0,7.0,6.0,3.0,6.0,7.0,6.0,3.0,2.0,Completed,,,,,,,,,2.6,1.5,,,,,2.74,1.52,1171.0,1650.0,,,,,,,2.78,1.55,2.57,1.5,,,2.74,1.52,2.67,1.51,Nakashima B.,Sonego L.,34.0,47.0,-13.0,0,1.55,2.78,1.5,2.57,0,2,-2,108,95,150,165,0.5882352941176471,0.5555555555555556,0.7,0.5,2,2,0.0326797385620915,0.19999999999999996,0,-0.32378707709389687,-2,0.6451612903225806,0.3597122302158274,0.28544906010675325,0.01730103806228374,0.01182033096926714,0.005480707093016599
36,London,Wimbledon,2025-07-05,Grand Slam,Outdoor,Grass,3rd Round,5.0,Cobolli F.,Mensik J.,24.0,17,6.0,2.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,2.5,1.53,,,,,2.67,1.54,2035.0,2356.0,,,,,,,2.7,1.58,2.53,1.51,,,2.67,1.54,2.585,1.535,Cobolli F.,Mensik J.,24.0,17.0,7.0,1,2.7,1.58,2.53,1.51,1,0,1,57,49,49,28,0.5384615384615384,0.5,0.6,0.5,2,2,0.038461538461538436,0.09999999999999998,0,0.3448404862917296,1,0.37037037037037035,0.6329113924050632,-0.2625410220346929,0.022435897435897436,0.029411764705882353,-0.0069758672699849165
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Thompson J.,Darderi L.,44.0,59,6.0,4.0,6.0,4.0,3.0,6.0,6.0,3.0,,,3.0,1.0,Completed,,,,,,,,,1.67,2.1,,,,,1.79,2.15,1200.0,989.0,,,,,,,1.82,2.2,1.71,2.11,,,1.79,2.15,1.73,2.125,Darderi L.,Thompson J.,59.0,44.0,15.0,0,2.2,1.82,2.11,1.71,0,1,-1,41,43,146,165,0.4,0.5230769230769231,0.4,0.6,1,2,-0.12307692307692308,-0.19999999999999996,-1,0.2933478099874587,-1,0.45454545454545453,0.5494505494505494,-0.09490509490509486,0.006779661016949153,0.01188811188811189,-0.005108450871162736
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,2nd Round,5.0,Fucsovics M.,Monfils G.,105.0,48,6.0,4.0,1.0,6.0,4.0,6.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,,,,,,,,,1.9,1.91,,,,,1.94,1.96,564.0,1165.0,,,,,,,1.95,2.04,1.89,1.89,,,1.94,1.96,1.92,1.935,Fucsovics M.,Monfils G.,105.0,48.0,57.0,1,1.95,2.04,1.89,1.89,2,3,-1,147,156,566,344,0.5,0.5662650602409639,0.6,0.6,3,3,-0.0662650602409639,0.0,0,0.7827593392496319,-1,0.5128205128205129,0.49019607843137253,0.022624434389140358,0.004761904761904762,0.011797188755020081,-0.007035283993115319
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Fritz T.,Davidovich Fokina A.,5.0,27,6.0,4.0,6.0,3.0,6.0,7.0,6.0,1.0,,,3.0,1.0,Completed,,,,,,,,,1.25,3.75,,,,,1.3,3.92,4635.0,1845.0,,,,,,,1.34,3.92,1.28,3.66,,,1.3,3.92,1.275,3.835,Davidovich Fokina A.,Fritz T.,27.0,5.0,22.0,0,3.92,1.34,3.66,1.28,4,3,1,138,127,286,189,0.5,0.6417910447761194,0.7,0.9,1,2,-0.14179104477611937,-0.20000000000000007,-1,1.6863989535702288,1,0.25510204081632654,0.7462686567164178,-0.4911666159000913,0.018518518518518517,0.12835820895522387,-0.10983969043670536
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Majchrzak K.,Rinderknech A.,109.0,72,6.0,3.0,7.0,6.0,7.0,6.0,,,,,3.0,0.0,Completed,,,,,,,,,1.91,1.9,,,,,2.07,1.85,527.0,873.0,,,,,,,2.1,1.9,2.0,1.8,,,2.07,1.9,1.99,1.875,Majchrzak K.,Rinderknech A.,109.0,72.0,37.0,1,2.1,1.9,2.0,1.8,1,0,1,24,35,81,95,0.4444444444444444,0.4642857142857143,0.4444444444444444,0.6,2,1,-0.019841269841269882,-0.15555555555555556,1,0.41468176321308814,1,0.47619047619047616,0.5263157894736842,-0.05012531328320802,0.004077471967380224,0.006448412698412699,-0.002370940731032475
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Alcaraz C.,Struff J.L.,2.0,125,6.0,1.0,3.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,1.04,11.0,,,,,1.05,15.53,9300.0,475.0,,,,,,,1.05,18.0,1.03,12.61,,,1.05,15.53,1.045,13.265,Alcaraz C.,Struff J.L.,2.0,125.0,-123.0,1,1.05,18.0,1.03,12.61,4,1,3,236,59,208,241,0.9117647058823529,0.45901639344262296,1.0,0.6,2,1,0.45274831243972996,0.4,1,-4.135166556742356,3,0.9523809523809523,0.05555555555555555,0.8968253968253967,0.45588235294117646,0.0036721311475409837,0.45221022179363546
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Khachanov K.,Borges N.,20.0,37,7.0,6.0,4.0,6.0,4.0,6.0,6.0,3.0,7.0,6.0,3.0,2.0,Completed,,,,,,,,,1.4,3.0,,,,,1.44,3.03,2240.0,1400.0,,,,,,,1.48,3.05,1.41,2.89,,,1.44,3.03,1.42,3.015,Borges N.,Khachanov K.,37.0,20.0,17.0,0,3.05,1.48,2.89,1.41,0,2,-2,58,64,285,205,0.35714285714285715,0.6382978723404256,0.5,0.7,2,2,-0.2811550151975684,-0.19999999999999996,0,0.6151856390902335,-2,0.3278688524590164,0.6756756756756757,-0.34780682321665923,0.009652509652509652,0.03191489361702128,-0.022262383964511627
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Jarry N.,Fonseca J.,143.0,54,6.0,3.0,6.0,4.0,3.0,6.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,2.9,1.4,,,,,3.05,1.43,418.0,1016.0,,,,,,,3.05,1.48,2.81,1.42,,,3.05,1.43,2.975,1.415,Fonseca J.,Jarry N.,54.0,143.0,-89.0,0,1.48,3.05,1.42,2.81,0,1,-1,20,16,107,110,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0,-0.9738605836956324,-1,0.6756756756756757,0.3278688524590164,0.34780682321665923,0.009259259259259259,0.0034965034965034965,0.005762755762755763
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Norrie C.,Bellucci M.,61.0,73,7.0,6.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,1.57,2.3,,,,,1.6,2.5,952.0,864.0,,,,,,,1.63,2.56,1.56,2.41,,,1.6,2.5,1.585,2.4,Bellucci M.,Norrie C.,73.0,61.0,12.0,0,2.56,1.63,2.41,1.56,0,1,-1,15,19,214,156,0.5,0.5333333333333333,0.5,0.4,2,2,-0.033333333333333326,0.09999999999999998,0,0.1795855769750796,-1,0.390625,0.6134969325153374,-0.22287193251533743,0.00684931506849315,0.008743169398907104,-0.0018938543304139535
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,3rd Round,5.0,Rublev A.,Mannarino A.,14.0,123,7.0,5.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,1.25,3.75,,,,,1.3,3.96,2920.0,477.0,,,,,,,1.31,4.1,1.27,3.77,,,1.3,3.96,1.275,3.855,Mannarino A.,Rublev A.,123.0,14.0,109.0,0,4.1,1.31,3.77,1.27,1,4,-3,298,344,336,188,0.584,0.6666666666666666,0.4,0.6,2,2,-0.08266666666666667,-0.19999999999999996,0,2.1731270257571587,-3,0.24390243902439027,0.7633587786259541,-0.5194563396015639,0.004747967479674796,0.047619047619047616,-0.04287108013937282
36,London,Wimbledon,2025-07-04,Grand Slam,Outdoor,Grass,2nd Round,5.0,Shelton B.,Hijikata R.,10.0,87,6.0,2.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,1.22,4.33,,,,,1.26,4.37,3130.0,693.0,,,,,,,1.26,4.8,1.22,4.29,,,1.26,4.37,1.24,4.35,Hijikata R.,Shelton B.,87.0,10.0,77.0,0,4.8,1.26,4.29,1.22,0,2,-2,34,49,90,65,0.47058823529411764,0.47368421052631576,0.4,0.6,3,3,-0.0030959752321981227,-0.19999999999999996,0,2.163323025660538,-2,0.20833333333333334,0.7936507936507936,-0.5853174603174602,0.005409060175794456,0.047368421052631574,-0.04195936087683712
36,London,Wimbledon,2025-07-03,Grand Slam,Outdoor,Grass,2nd Round,5.0,Martinez P.,Navone M.,52.0,91,7.0,5.0,7.0,5.0,7.0,6.0,,,,,3.0,0.0,Completed,,,,,,,,,2.63,1.5,,,,,2.71,1.53,1030.0,670.0,,,,,,,2.78,1.56,2.61,1.5,,,2.71,1.53,2.67,1.515,Martinez P.,Navone M.,52.0,91.0,-39.0,1,2.78,1.56,2.61,1.5,1,0,1,80,107,30,37,0.3076923076923077,0.25,0.2,0.25,2,2,0.05769230769230771,-0.04999999999999999,0,-0.5596157879354222,1,0.3597122302158274,0.641025641025641,-0.2813134108098136,0.00591715976331361,0.0027472527472527475,0.0031699070160608627
36,London,Wimbledon,2025-07-03,Grand Slam,Outdoor,Grass,2nd Round,5.0,Holmgren A.,Machac T.,192.0,23,7.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,6.0,3.0,2.0,Completed,,,,,,,,,5.5,1.15,,,,,6.76,1.14,285.0,2110.0,,,,,,,6.8,1.17,5.63,1.14,,,6.76,1.15,6.13,1.145,Holmgren A.,Machac T.,192.0,23.0,169.0,1,6.8,1.17,5.63,1.14,1,0,1,1,1,56,45,1.0,0.5,1.0,0.5,2,2,0.5,0.5,0,2.122001156098632,1,0.14705882352941177,0.8547008547008548,-0.707642031171443,0.005208333333333333,0.021739130434782608,-0.016530797101449276
